titulo	autor	tipo	paginaIni	paginaFin	posIni	posFin	fecha	mensaje
Controle su destino	Anthony Robbins	Subrayado	36		546	548	05/12/2017 08:07:18	«la fórmula definitiva para el éxito», que no es más que un proceso elemental para conseguir que usted llegue a donde quiere llegar: 1) decida lo que desee; 2) emprenda la acción; 3) observe lo que funciona y lo que no, y 4) vaya cambiando su actitud hasta que consiga lo que quiere.
Controle su destino	Anthony Robbins	Subrayado	36		548	549	05/12/2017 08:07:36	decisión de producir un resultado hace que los acontecimientos se pongan en movimiento.
Controle su destino	Anthony Robbins	Subrayado	36		550	550	05/12/2017 08:09:23	En cuanto se comprometa realmente a conseguir que algo suceda, el «cómo» se revelará por sí mismo.
Controle su destino	Anthony Robbins	Subrayado	36		551	553	05/12/2017 08:09:33	“En lo referente a todos los actos de iniciativa y creación, hay una verdad elemental, y es el momento en que uno se compromete definitivamente; luego, la providencia también se mueve” GOETHE.
Controle su destino	Anthony Robbins	Subrayado	37		559	560	30/11/2017 07:49:25	Tomar una verdadera decisión, a diferencia de algo así como «Me gustaría dejar de fumar», significa descartar cualquier otra posibilidad.
Controle su destino	Anthony Robbins	Subrayado	37		561	562	05/12/2017 08:10:33	Tomar una verdadera decisión significa comprometerse en alcanzar un resultado, y luego descartar cualquier otra posibilidad que no sea ésa.
Controle su destino	Anthony Robbins	Subrayado	38		570	571	30/11/2017 07:52:01	tiempo, que ya nos hemos olvidado de lo que se siente. Hemos dejado atrofiar los músculos de la toma de decisiones.
Controle su destino	Anthony Robbins	Subrayado	38		572	573	05/12/2017 08:12:13	¿cómo pueden fortalecerse esos músculos? ¡Haciéndolos trabajar!
Controle su destino	Anthony Robbins	Subrayado	38		573	573	30/11/2017 07:52:32	forma de tomar mejores decisiones consiste en tomar más decisiones.
Controle su destino	Anthony Robbins	Subrayado	38		573	576	05/12/2017 08:12:34	Entonces, asegúrese que aprende de ellas, incluyendo las que no parezcan funcionar a corto plazo: le proporcionarán de todos modos valiosas referencias para efectuar una mejor evaluación y, en consecuencia, tomar mejores decisiones en el futuro. Debe darse cuenta de que la toma de decisiones, como cualquier otra habilidad sobre la que enfoque su atención, mejora a medida que la practique.
Controle su destino	Anthony Robbins	Subrayado	38		577	578	05/12/2017 08:12:51	Esperará con afán futuros desafíos, y los considerará como una oportunidad para establecer nuevas referencias y avanzar hacia el nivel siguiente.
Controle su destino	Anthony Robbins	Subrayado	40		603	606	30/11/2017 07:58:44	Las tres decisiones que controlan su destino son: 1. Sus decisiones acerca de en qué enfocar la atención. 2. Sus decisiones acerca de lo que significan las cosas para usted. 3. Sus decisiones acerca de qué hacer para llegar a los resultados que desea alcanzar.
Controle su destino	Anthony Robbins	Subrayado	40		607	609	30/11/2017 07:59:11	que determina aquello en lo que se convertirá no es lo que le está sucediendo ahora, ni lo que le ha sucedido en el pasado. Lo que importa son sus decisiones acerca de hacia dónde enfoca la atención, qué significan las cosas para usted, y qué va a hacer al respecto para encaminar su destino último.
Controle su destino	Anthony Robbins	Subrayado	42		632	633	30/11/2017 08:02:43	Establezca un curso hacia el que quiera dirigirse realmente, y hágase un plano o un mapa, para poder tomar decisiones cualificadas a lo largo del camino.
Controle su destino	Anthony Robbins	Subrayado	42		634	635	30/11/2017 08:03:34	su cerebro ya ha construido un sistema interno para tomar decisiones.
